STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,METHODOLOGY,Methodology,MEASURE,Measure,UNIT_MEASURE,Unit of measure,EXPENDITURE,Expenditure,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DURABILITY,Durability,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1986-Q4,,46.60706,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1987-Q1,,47.16961,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1987-Q2,,47.70403,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1987-Q3,,48.21033,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1987-Q4,,48.66036,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1988-Q1,,49.04008,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1988-Q2,,49.60263,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1988-Q3,,50.20737,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1988-Q4,,50.75585,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1989-Q1,,51.33246,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1989-Q2,,52.16222,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1989-Q3,,52.57007,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1989-Q4,,53.10449,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1990-Q1,,54.01863,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1990-Q2,,54.55305,,A,Normal value,,,2015,,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PRICES@DF_PRICES_ALL(1.0),"Consumer price indices (CPIs, HICPs), COICOP 1999",I,USA,United States,Q,Quarterly,N,National,CPI,Consumer price index,IX,Index,_T,Total,S,"Seasonally adjusted, not calendar adjusted",_Z,Not applicable,1990-Q3,,55.49532,,A,Normal value,,,2015,,,,2,Two
