period,k_hat,c_hat,z_hat,xi_hat,gdp_growth_level,gdp_growth_vol,ulc_growth_level,ulc_growth_vol,inflation_level,inflation_vol,unemp_level,unemp_vol,spread_level,spread_vol,countrycode,pad_1,pad_2,pad_3,pad_4,pad_5
2009Q1,0.006440250583328921,-0.0023873755498637905,-0.008512596092047069,-0.07092021347445622,-0.02284505387873792,0.012360389734567961,0.025395507899134362,0.007100512632760774,0.004537039960470057,0.006716141504542751,3.829762,0.22025039471601254,1.7276569999999998,0.7513427884175521,NLD,0.0,0.0,0.0,0.0,0.0
2009Q2,0.005245238012944492,-0.013933970173042098,-0.016286149290711326,-0.1907726736267365,-0.00927718789831733,0.012530969929911616,0.015212158915130392,0.006883793796193937,0.01092103509551312,0.006455645917856504,4.223571,0.23112703610875207,2.5493639999999997,1.1812774605981091,NLD,0.0,0.0,0.0,0.0,0.0
2009Q3,0.0038806859590325704,-0.020862531298885045,-0.019377394707069714,-0.2600578257821523,0.001047013587768264,0.01155881306282702,-0.004227522565679931,0.008736031977238958,-0.008862123589633675,0.007529895461936809,4.525649,0.3302883093630986,2.7818255,1.4610068391302926,NLD,0.0,0.0,0.0,0.0,0.0
2009Q4,0.002478371862017048,-0.021529965925237704,-0.01739877911327318,-0.259918932537338,0.006559786309761506,0.010098176936687709,-0.0069482382381592656,0.010849877360898734,0.0027340845101022637,0.0075484655355744605,4.812929,0.4653259095260213,2.7750879999999998,1.5671772647838822,NLD,0.0,0.0,0.0,0.0,0.0
2010Q1,0.0012572252323486133,-0.01653824522349545,-0.012290943756776277,-0.19601995488326712,3.197237581642476e-05,0.009300625000006092,-0.011762698498660518,0.013161567487274225,0.004126976090754075,0.007362901855829806,5.034353,0.5764042691199471,2.7348644999999996,1.54650610742886,NLD,0.0,0.0,0.0,0.0,0.0
2010Q2,0.00043852127192300916,-0.006574062538772907,-0.006085408054478859,-0.07493558858837376,0.00918643562067345,0.010417784664267652,0.0007944563500519308,0.013326008407613343,0.011779383810525124,0.006865105492943824,5.026691,0.6098373902651542,2.3930615,1.3774967785963865,NLD,0.0,0.0,0.0,0.0,0.0
2010Q3,0.00023089582087271188,0.007632847099793949,-0.00076046793175684,0.09621961129868586,0.0008817690371432096,0.01053929234411859,0.0040881301197659425,0.013139101025203803,-0.0030828012809082095,0.007190243103386324,4.996405,0.5594640574281645,1.7700605999999999,1.0320169611144827,NLD,0.0,0.0,0.0,0.0,0.0
2010Q4,0.0005700779356936081,0.024129161444518488,0.002756842054594969,0.2951433741748374,0.008641109097877742,0.010742173438651057,0.0032522380896675696,0.012103970130324495,0.004001818750549724,0.0067787168773649105,4.897848,0.44158492432503227,1.818531,0.47135209721090193,NLD,0.0,0.0,0.0,0.0,0.0
2011Q1,0.0011190196551520704,0.03972909171063499,0.004587420628786172,0.4842387418826022,0.011014817171523639,0.006684271791970299,-0.007645270269578508,0.008583586359877219,0.005870203282965614,0.006830520242781433,4.841012,0.28375834347091583,2.25983,0.4094995320025863,NLD,0.0,0.0,0.0,0.0,0.0
2011Q2,0.0015284631233114243,0.05117839030019056,0.004895985140418208,0.6250619199036415,-0.0005897477008593999,0.004729932310021036,0.005972785143754322,0.006465552270245239,0.014301631903166578,0.007437349874252526,4.801521,0.16716652443340344,2.0327019999999996,0.4205267178286075,NLD,0.0,0.0,0.0,0.0,0.0
